player_name;position;squad;age;born_year;match_played;minutes_played;minutes_per_match;first_eleven;90_mins_complated;points_per_match;yellow_card;red_card;second_yellow_card;fouls_committed;fouls_drawn;offsides;crosses;interceptions;tackles_won;own_goals;goals;assists;shots;shots_on_target;penalty_goals;penalty_attempts
Zoran Kvržić;DF.MF;Kayserispor;31;1988;36;2908;81.0;34;22;0.97;5;0;0;30;28;3;97;56;32;1;1;1;29;9;0;0
Cyle Larin;MF.FW;Beşiktaş;25;1995;38;2878;76.0;33;19;2.05;5;1;1;57;65;17;13;23;17;0;19;5;78;46;0;0
Joseph Larweh Attamah;MF.DF;Kayserispor;26;1994;31;2281;74.0;25;16;0.97;3;0;0;20;19;0;9;40;20;0;0;0;13;1;0;0
Fabiano Leismann;DF;Denizlispor;28;1991;33;2688;81.0;31;28;0.73;8;0;0;31;19;1;14;47;32;0;0;0;23;5;0;0
Mauricio Lemos;DF;Fenerbahçe;24;1995;8;649;81.0;6;5;1.88;3;1;1;8;5;0;3;8;13;0;0;0;8;3;0;0
Aaron Lennon;MF;Kayserispor;33;1987;36;266;74.0;33;9;0.97;4;1;1;29;27;5;80;18;23;0;0;5;12;4;0;0
Eric Lichaj;DF;Fatih Karagümrük;31;1988;10;736;74.0;8;6;1.4;1;0;0;7;5;0;7;23;7;1;0;0;1;0;0;0
Alan Lima Cariús;MF.FW;Kasımpaşa;23;1997;15;691;46.0;8;4;1.2;1;0;0;20;8;2;16;3;5;0;1;1;15;5;0;0
Sandro Lima;FW.MF;Gençlerbirliği;29;1990;16;1289;81.0;15;9;1.13;4;0;0;35;30;8;9;3;7;0;2;2;33;14;0;0
Martin Linnes;DF;Galatasaray;28;1991;22;1547;70.0;15;11;1.68;1;0;0;15;22;0;59;22;20;0;0;1;5;1;0;0
Adem Ljajić;MF;Beşiktaş;28;1991;22;1095;50.0;14;0;1.82;3;0;0;4;12;3;47;6;1;0;2;3;25;13;0;0
Saba Lobzhanidze;MF;Ankaragücü;25;1994;37;2722;74.0;32;18;0.92;1;0;0;17;14;9;60;20;9;0;3;7;46;22;0;0
Miguel Lopes;DF;Kayserispor;33;1986;14;1085;78.0;12;10;0.79;2;1;1;15;15;4;26;14;18;0;0;0;10;4;0;0
Tiago Jorge Oliveira Lopes;DF.MF;Denizlispor;31;1989;24;1939;81.0;23;18;0.75;4;0;0;31;45;2;71;52;24;0;0;2;14;1;0;0
Derrick Luckassen;DF;Kasımpaşa;25;1995;16;133;83.0;16;12;1.25;7;3;2;20;10;1;1;17;5;0;0;0;5;1;0;0
Kevin Luckassen;FW;Kayserispor;27;1993;14;534;38.0;4;2;0.79;1;0;0;15;11;2;0;1;4;0;0;0;11;2;0;0
Jody Lukoki;MF;Yeni Malatyaspor;27;1992;10;334;33.0;3;0;1.2;3;0;0;11;4;1;19;0;3;0;0;1;4;2;0;0
Christian Luyindama;DF;Galatasaray;26;1994;24;1756;73.0;19;17;1.96;4;0;0;18;11;0;0;45;9;0;0;1;15;4;0;0
Davidson da Luz Pereira;MF;Alanyaspor;29;1991;39;3012;77.0;33;13;1.54;6;0;0;41;89;4;72;19;43;0;10;2;91;33;0;0
Anton Maglica;FW;Kayserispor;28;1991;8;355;44.0;4;0;1.25;1;0;0;15;6;3;3;0;1;0;1;1;10;4;0;0
Stevie Mallan;MF;Yeni Malatyaspor;24;1996;17;775;46.0;8;1;0.76;0;0;0;9;3;0;19;6;0;0;2;0;19;11;0;0
Aly Mallé;FW;Yeni Malatyaspor;22;1998;7;38;5.0;0;0;1.43;0;0;0;2;0;0;7;0;1;0;0;0;1;0;0;0
Yunus Mallı;MF;Trabzonspor;28;1992;13;418;32.0;5;0;1.92;0;0;0;5;6;0;7;4;7;0;0;0;6;2;0;0
